| Epoch | Loss    | Eff Rank | Mean Cos | Latent Var |
| ----- | ------- | -------- | -------- | ---------- |
| 1     | 0.01236 | 67.5     | 0.1750   | 0.0064     |
| 2     | 0.00948 | 66.2     | 0.1950   | 0.0063     |
| 3     | 0.00716 | 65.1     | 0.2123   | 0.0061     |
| 4     | 0.00594 | 63.1     | 0.2100   | 0.0062     |
| 5     | 0.00535 | 62.0     | 0.1900   | 0.0063     |
| 6     | 0.00481 | 61.1     | 0.1837   | 0.0064     |
| 7     | 0.00446 | 60.2     | 0.1824   | 0.0064     |
| 8     | 0.00427 | 59.7     | 0.1821   | 0.0064     |
| 9     | 0.00405 | 59.2     | 0.1739   | 0.0065     |
| 10    | 0.00393 | 58.2     | 0.1702   | 0.0065     |
| 11    | 0.00380 | 57.2     | 0.1665   | 0.0065     |
| 12    | 0.00383 | 56.6     | 0.1627   | 0.0065     |
| 13    | 0.00358 | 56.1     | 0.1568   | 0.0066     |
| 14    | 0.00350 | 55.8     | 0.1516   | 0.0066     |
| 15    | 0.00347 | 55.0     | 0.1577   | 0.0066     |
